"zeithorizont","position","rang","kumulierter_anteil_pct"
"2a (EDGAR THG gesamt, 2024)","DE-20",1,30
"2a (EDGAR THG gesamt, 2024)","DE-10",2,41.4
"2a (EDGAR THG gesamt, 2024)","DE",12,69.6
"2a (EDGAR THG gesamt, 2024)","DE+10",22,79.5
"2a (EDGAR THG gesamt, 2024)","DE+20",32,86
"2b (GCB fossil+Zement, kumuliert)","DE-20",1,24.2
"2b (GCB fossil+Zement, kumuliert)","DE-10",1,24.2
"2b (GCB fossil+Zement, kumuliert)","DE",4,52.1
"2b (GCB fossil+Zement, kumuliert)","DE+10",14,75.4
"2b (GCB fossil+Zement, kumuliert)","DE+20",24,85.1
